pmid,relations
40293138,MESH:D000860!HSF1!0.9877!Association;MESH:D000740!TAL1!0.9995!Association;MESH:D000860!NFE2L2!0.9985!Association;MESH:D000860!ATF4!0.9977!Association;MESH:D000740!SAMD14!0.9992!Association;MESH:D000740!ATF4!0.9993!Association;MESH:D000740!EPO!0.6471!Association;MESH:D000740!HSF1!0.9994!Association;MESH:D000740!GATA1!0.9992!Association;MESH:D000740!NFE2L2!0.9992!Association
40336196,MESH:D020914!Notch2!0.9996!Association;MESH:D018908!Notch2!0.994!Association;MESH:D019042!Notch2!0.9996!Association;MESH:D019042!Pax7!0.9993!Association;MESH:D020914!NOTCH2!0.8628!Association;MESH:D019042!NOTCH2!0.9479!Association
18597038,MESH:D020388!CCDC27!0.9997!Association;MESH:D020388!RERE!0.9995!Association;MESH:D020388!SSU72!0.9997!Association;MESH:D020388!ISG15!0.9997!Association;MESH:D020388!RERE!0.61!Association
33046743,MESH:D014060!ERP29!0.9979!Association;MESH:D009959!MIR4421!0.567!Association;MESH:D014060!MIR4421!0.9993!Association;MESH:D063646!ERP29!0.7406!Association;MESH:D002294!ERP29!0.9916!Association;MESH:D063646!MIR4421!0.9665!Association;MESH:D009959!ERP29!0.9756!Association;MESH:D014060!ERP29!0.9592!Association;MESH:D002294!ERP29!0.48!Association
27454520,MESH:D009103!ZNF649!0.9986!Association;MESH:D009103!FRMD6!0.999!Association;MESH:D009103!ETV3L!0.9984!Association;MESH:D009103!PAIP1!0.9708!Association;MESH:D009103!EHD4!0.9993!Association
39570219,MESH:D004387!CSMD2!0.9996!Association;MESH:D004387!WNT7B!0.9996!Association;MESH:D004387!LOXL1!0.9994!Association;MESH:D004387!DUXA!0.9996!Association;MESH:D004387!TACC2!0.9995!Association
40074049,MESH:D029424!MIR25!0.9992!Association;MESH:D029424!MIR149!0.9964!Association;MESH:D029424!MIR3117!0.9982!Association;MESH:D029424!MIR608!0.9981!Association;MESH:D029424!MIR605!0.9996!Association;MESH:D029424!MIR499A!0.9935!Association
36221101,MESH:D058070!MUC1!0.669!Association;MESH:D058070!MTX1!0.9891!Association;MESH:D006073!MTX1!0.9996!Association;MESH:D006073!DNAJC16!0.9993!Association;MESH:D058070!ABCG2!0.9996!Association;MESH:D006073!TRIM46!0.9993!Association;MESH:D015210!ABCG2!0.9995!Association;MESH:D006073!AGMAT!0.9996!Association;MESH:D058070!TRIM46!0.9924!Association;MESH:D006073!NUDT17!0.9995!Association;MESH:D058070!SLC2A9!0.9996!Association;MESH:D058070!NUDT17!0.717!Association;MESH:D006073!MUC1!0.9996!Association;MESH:D015210!SLC2A9!0.9996!Association;MESH:D006073!DNAJC16!0.998!Association;MESH:D058070!ABCG2!0.9058!Association;MESH:D006073!NUDT17!0.9975!Association;MESH:D006073!TRIM46!0.9978!Association;MESH:D006073!MTX1!0.996!Association;MESH:D006073!AGMAT!0.9972!Association;MESH:D006073!MUC1!0.9973!Association;MESH:D015210!ABCG2!0.9724!Association;MESH:D006073!ABCG2!0.9988!Association
38617633,MESH:D002289!ESRRA!0.9923!Association;MESH:D002289!EGFR!0.9994!Association;MESH:D002289!PTPN7!0.6622!Association
39239979,MESH:D012559!MIR137!0.9997!Association;MESH:D012559!DPYD!0.9993!Association
39831357,MESH:D016893!ITGA2!0.9996!Association;MESH:D001791!ITGB3!0.9976!Association;MESH:D002544!HMOX1!0.742!Association;MESH:D016893!HMOX1!0.9996!Association;MESH:D001791!ITGA2!0.9996!Association;MESH:D002544!ITGA2!0.8673!Association;MESH:D002544!PTGS2!0.5562!Association;MESH:D001791!PLA2G7!0.6944!Association;MESH:D002544!ITGB3!0.9192!Association
40241149,MESH:D005910!H3-3A!0.9997!Association;MESH:D005910!H3-3B!0.9992!Association;MESH:D009369!H3-3B!0.7742!Association
32062564,MESH:D019636!MIR548H3!0.9994!Association;MESH:D019636!HS3ST3A1!0.9995!Association;MESH:D056784!MIR548H3!0.8861!Association;MESH:D056784!PICALM!0.4933!Association;MESH:D019636!PICALM!0.8282!Association
39911167,MESH:C537021!FAM111A!0.9993!Association;MESH:C537021!TBCE!0.9994!Association;MESH:C537020!FAM111A!0.9551!Association;MESH:C537020!TBCE!0.9668!Association
27607899,MESH:D003924!LEKR1!0.9838!Association;MESH:D003930!CCNL1!0.9835!Association;MESH:D003924!CCNL1!0.8771!Association;MESH:D003930!IGSF21!0.9994!Association;MESH:D003924!IGSF21!0.9988!Association;MESH:D003930!KLHDC7A!0.9938!Association;MESH:D003924!KLHDC7A!0.9957!Association;MESH:D003930!LEKR1!0.9992!Association;MESH:D003930!NOS3!0.9502!Association
39500882,MESH:D019465!GON4L!0.9176!Association;MESH:D001927!GON4L!0.9996!Association;MESH:D002658!Gon4l!0.9579!Association;MESH:D008831!Gon4l!0.9967!Association;MESH:D008831!GON4L!0.9996!Association;MESH:D002658!GON4L!0.9996!Association;MESH:D012857!GON4L!0.9996!Association;MESH:D001927!Gon4l!0.9713!Association;MESH:D006130!GON4L!0.9996!Association
40115981,MESH:D009369!EXO5!0.9997!Association;MESH:D011471!EXO5!0.9997!Association
38580884,MESH:D001943!Trp53!0.9712!Association;MESH:D009369!Fbxo42!0.9988!Association;MESH:D009369!Trp53!0.9981!Association;MESH:D009369!Ccdc6!0.9414!Association;MESH:D009369!TP53!0.9981!Association
40326030,MESH:D008850!FOXE3!0.9969!Association;MESH:D008850!PXDN!0.9607!Association;MESH:C537775!FOXE3!0.9884!Association;MESH:C537775!PXDN!0.9754!Association
30172742,MESH:D010024!PLEKHA1!0.8797!Association;MESH:D020388!PGBP!0.9996!Association;MESH:D010024!PGBP!0.9985!Association;MESH:D010024!PIFO!0.8939!Association;MESH:D020388!PLEKHA1!0.9994!Association;MESH:D020388!PIFO!0.9678!Association;MESH:D020388!GNG12!0.9996!Association;MESH:D010024!GNG12!0.9972!Association;MESH:D003924!PLEKHA1!0.8148!Association;MESH:D003920!PLEKHA1!0.9995!Association;MESH:D003924!PLEKHA1!0.5261!Association;MESH:D010024!PLEKHA1!0.9849!Association;MESH:D020388!TCF7L2!0.986!Association;MESH:D003920!PLEKHA1!0.7438!Association;MESH:D020388!GNG12-AS1!0.9871!Association;MESH:D003920!GNG12-AS1!0.5521!Association;MESH:D010024!TCF7L2!0.9658!Association;MESH:D010024!GNG12-AS1!0.9745!Association;MESH:D020388!PLEKHA1!0.9672!Association
