gene,disease,score,association,pmid
EPS8L3,MESH:D013274,1.0,Association,37978443
KANK4,MESH:D008207,0.894,Association,38211648
MIR4421,MESH:D051437,0.807,Association,38216777
LINC01138,MESH:D064129,0.99,Association,38373667
ADAMTSL4,MESH:D005124,1.0,Association,39278391
ADAMTSL4,MESH:D007905,1.0,Association,39278391
ADAMTSL4,MESH:D004479,1.0,Association,"39278391,39360343"
UBIAD1,MESH:D001943,0.992,Association,39294175
UBIAD1,MESH:D009362,0.9,Negative_Correlation,39294175
UBIAD1,MESH:D009369,1.0,Association,39294175
GLRX2,MESH:D011085,0.999,Association,39314522
LYPLAL1,MESH:D005901,0.911,Negative_Correlation,39342991
CHRM3,MESH:D010051,0.971,Association,39355254
MIR197,MESH:D001943,1.0,Association,39383380
B3GALT6,MESH:D008180,0.902,Association,39496744
INPP5B,MESH:D008180,0.575,Association,39496744
FHL3,MESH:D008180,0.999,Association,39496744
HES4,MESH:D000860,0.999,Association,39497743
INSL5,MESH:D005767,1.0,Association,39568362
RXFP4,MESH:D005767,1.0,Association,39568362
INSL5,MESH:D003248,1.0,Association,39568362
RXFP4,MESH:D003248,1.0,Association,39568362
UCHL5,MESH:D051436,0.997,Positive_Correlation,39622158
UCHL5,MESH:D005355,0.992,Positive_Correlation,39622158
RAB13,MESH:D002292,0.742,Association,39689763
RAB13,MESH:D009369,0.635,Association,"39689763,40149492"
CD1E,MESH:D017093,0.999,Association,39800763
TMCO1,MESH:D008103,1.0,Association,39800763
CD1E,MESH:D008103,1.0,Association,39800763
TMCO1,MESH:D017093,1.0,Association,39800763
C8B,MESH:D018281,0.977,Association,39831920
F13B,MESH:D018281,0.994,Association,39831920
C8A,MESH:D018281,0.968,Association,39831920
NOC2L,MESH:D063646,1.0,Association,39868138
NOC2L,MESH:D009369,0.992,Association,39868138
ILF2,MESH:D009369,0.995,Positive_Correlation,39917898
IL10,MESH:D000077195,0.991,Association,39917898
C8A,MESH:D008180,0.998,Association,39933823
GADD45A,MESH:D001943,0.991,Association,"39948551,40012020"
ENO1,MESH:D001943,0.998,Association,39948551
LCE1D,MESH:D003324,1.0,Association,39976036
CACNA1E,MESH:D003324,1.0,Association,39976036
LRP8,MESH:D001749,0.668,Negative_Correlation,39989004
Lrp8,MESH:D001749,0.999,Association,39989004
MASP2,MESH:D006528,0.998,Association,40014188
MUC1,MESH:D006528,0.971,Association,40014188
ADAMTSL4,MESH:C563255,0.779,Association,40025527
CLIC4,MESH:D020181,0.997,Association,40029375
CLIC4,MESH:D001249,0.927,Association,40029375
APOA2,MESH:D001281,0.991,Association,40036186
YIPF1,MESH:D006528,0.972,Association,40055377
RAB3B,MESH:D006528,0.942,Association,40055377
IL20,MESH:D000090862,0.999,Association,40068518
IL24,MESH:D019636,0.999,Association,40068518
IL19,MESH:D009103,0.999,Association,40068518
IL19,MESH:D019636,0.991,Association,40068518
IL24,MESH:D000544,0.999,Association,40068518
IL20,MESH:D019636,1.0,Association,40068518
IL24,MESH:D009103,1.0,Association,40068518
IL24,MESH:D010300,1.0,Association,40068518
IL22RA1,MESH:D002493,0.983,Association,40068518
IL20,MESH:D009410,0.999,Association,40068518
IL20,MESH:D002493,0.996,Association,40068518
IL24,MESH:D007249,0.999,Positive_Correlation,40068518
CRB1,MESH:D000853,0.794,Association,40141357
CRB1,MESH:D002386,0.999,Association,40141357
CRB1,MESH:D052919,1.0,Association,"39982393,40141357"
UBIAD1,MESH:C535475,0.995,Association,40141754
ATP8B2,MESH:D028361,0.71,Negative_Correlation,40148707
ATP8B2,MESH:D050197,0.687,Negative_Correlation,40148707
CRB1,MESH:C536600,0.995,Association,40149532
CRB1,MESH:D000071700,0.878,Association,40149532
CRB1,MESH:D008268,0.623,Association,40149532
CRB1,MESH:D058437,1.0,Association,40149532
APOA2,MESH:D010190,1.0,Association,40171807
Faah,MESH:D000544,0.996,Association,40172080
GADD45A,MESH:D018805,0.997,Positive_Correlation,40184094
PIK3CD-AS1,MESH:D002292,0.998,Association,30337839
PIK3CD-AS1,MESH:D009369,0.998,Positive_Correlation,30337839
PIK3CD-AS1,MESH:D009362,0.996,Positive_Correlation,30337839
LSM10,MESH:D006528,0.999,Association,35646684
ZFP69B,MESH:D009369,0.711,Association,36249031
FAM89A,MESH:D000071072,0.999,Association,36451823
EPS8L3,MESH:D009362,1.0,Association,36819133
EPS8L3,MESH:D010190,0.996,Association,36819133
LINC01138,MESH:D006528,0.999,Association,36844873
LINC01138,OMIM:191181,0.911,Association,36844873
OBSCN,MESH:D063646,0.979,Association,36877839
OBSCN,MESH:D064726,0.998,Association,36877839
OBSCN,MESH:D009362,0.997,Association,36877839
OBSCN-AS1,MESH:D009362,0.998,Negative_Correlation,36877839
OBSCN,MESH:D001943,0.999,Association,36877839
OBSCN-AS1,MESH:D001943,0.944,Negative_Correlation,36877839
OBSCN-AS1,MESH:D064726,0.856,Association,36877839
ZNF648,MESH:D003924,0.999,Association,37546893
CACNA1E,MESH:D002318,0.999,Association,37546893
CACNA1E,MESH:D003924,0.999,Association,37546893
ZNF648,MESH:D002318,0.959,Association,37546893
MATN1,MESH:D002583,0.999,Association,37714866
MIR200B,MESH:D008207,0.973,Positive_Correlation,37714866
MATN1,MESH:D008207,0.719,Positive_Correlation,37714866
MATN1,MESH:D009369,0.999,Association,"37714866,39999286"
MIR200B,MESH:D002583,1.0,Association,37714866
MIR200B,MESH:D009369,0.985,Association,37714866
PRKAA2,MESH:D002311,1.0,Association,37723491
SCARNA2,MESH:D009369,0.999,Association,37775817
ATP8B2,MESH:D003093,0.999,Association,37843347
PLEKHO1,MESH:D003093,0.999,Association,37843347
STMN1,MESH:D020181,0.999,Association,38178888
LCE2C,MESH:D020181,1.0,Association,38178888
CSMD2,MESH:D008175,1.0,Association,38442557
PSMB2,MESH:D005910,0.997,Association,38467767
PSMB2,MESH:D009369,0.686,Positive_Correlation,38467767
SNORA16A,MESH:D009362,0.997,Association,38612790
SNORA16A,MESH:D009364,0.999,Association,38612790
MINDY1,MESH:D006528,0.654,Association,39217442
MINDY1,MESH:D009369,0.803,Association,39217442
MIR205HG,MESH:D002294,0.995,Positive_Correlation,39242755
SRGAP2,MESH:C537985,0.999,Association,39406239
SRGAP2,MESH:D000067877,0.858,Association,39406239
SRGAP2,MESH:D001321,1.0,Association,39406239
Slamf9,MESH:D000086382,0.982,Positive_Correlation,39414783
Slamf9,MESH:D007249,1.0,Association,39414783
PIK3CD,MESH:D009062,1.0,Association,39511483
Hdac1,MESH:D006930,0.997,Association,39542827
LINC00853,MESH:D006528,0.969,Association,39609501
GAS5,MESH:D006528,0.978,Association,39609501
RGS7,MESH:D015228,1.0,Association,39662927
VANGL1,MESH:D030342,0.998,Association,39753546
RPL5,MESH:C536494,0.825,Association,39858540
OLFML2B,MESH:D012516,0.646,Association,39925852
SERBP1,MESH:D001932,0.999,Association,39937575
SERBP1,MESH:D000544,0.868,Association,39937575
SERBP1,MESH:D019636,0.999,Association,39937575
ILF2,MESH:D002583,0.999,Association,39968981
MIR197,MESH:D007239,0.985,Positive_Correlation,39970057
CFH,MESH:D052919,0.999,Association,39982393
CFH,MESH:D058499,0.998,Association,39982393
CFHR2,MESH:D052919,0.854,Positive_Correlation,39982393
CRB1,MESH:D007249,0.554,Association,39982393
CRB1,MESH:D058499,1.0,Association,39982393
HMGCL,MESH:D012516,0.991,Negative_Correlation,39985081
PIK3CD,MESH:D012516,0.94,Association,39985081
MTOR,MESH:D012516,0.932,Association,39985081
HMGCL,MESH:D009369,0.636,Negative_Correlation,39985081
CLIC4,MESH:D000544,1.0,Association,39991798
NEK7,MESH:D003093,0.998,Association,40041908
NEK7,MESH:D003092,0.999,Association,40041908
MIR205HG,MESH:D054990,0.999,Association,40059822
USH2A,MESH:D025981,0.717,Association,40083649
ABCA4,MESH:D052919,1.0,Association,40083649
ABCA4,MESH:D025981,0.998,Association,40083649
USH2A,MESH:D052919,0.999,Association,40083649
S100A7,MESH:D007249,0.998,Positive_Correlation,40085417
S100A12,MESH:D007249,0.999,Positive_Correlation,40085417
PARK7,MESH:D015535,0.954,Positive_Correlation,40085417
S100A7,MESH:D015535,0.987,Positive_Correlation,40085417
RGS7,MESH:D007249,0.574,Negative_Correlation,40086518
RGS4,MESH:D001281,0.755,Association,40086518
RGS7,MESH:D005355,0.728,Negative_Correlation,40086518
RGS7,MESH:D001281,0.648,Association,40086518
DPH2,MESH:D006130,0.999,Association,40130534
DPH2,MESH:D005183,1.0,Association,40130534
DPH2,MESH:D013036,0.999,Association,40130534
DPH2,MESH:C536116,0.999,Association,40130534
DPH2,MESH:D001284,0.998,Association,40130534
DPH2,MESH:D019973,0.973,Association,40130534
DPH2,MESH:D002658,1.0,Association,40130534
DPH2,MESH:D056784,0.948,Association,40130534
DPH2,MESH:D012640,0.999,Association,40130534
DPH2,MESH:C536503,0.999,Association,40130534
DPH2,MESH:D057215,0.999,Association,40130534
DPH2,MESH:D009123,1.0,Association,40130534
TRAF5,MESH:D007239,0.562,Association,40136419
CLIC4,MESH:D012878,0.983,Negative_Correlation,40140845
CLIC4,MESH:D011471,0.991,Negative_Correlation,40140845
CLIC4,MESH:D013274,0.984,Negative_Correlation,40140845
CLIC4,MESH:D010051,0.999,Positive_Correlation,40140845
CLIC4,MESH:D009369,0.999,Association,40140845
S100A12,MESH:D054556,0.999,Association,40145454
S100A12,MESH:D000090882,0.999,Association,40145454
S100A12,MESH:D008180,0.993,Association,40145454
TRIM46,MESH:D009369,0.994,Association,"39937005,40154001"
TRIM46,MESH:D010190,1.0,Association,40154001
Prdm16,MESH:D012206,0.977,Association,40175611
FCER1G,MESH:D009436,1.0,Association,40187376
LCK,MESH:D008180,0.996,Association,40194603
HYDIN2,MESH:D058627,1.0,Association,30155272
HYDIN2,MESH:D003072,1.0,Association,30155272
EPS8L3,MESH:D006816,1.0,Association,33049985
PRAMEF12,MESH:D006816,0.997,Association,33049985
RBM15,MESH:D006816,1.0,Association,33049985
SLC30A10,MESH:D006816,0.995,Association,33049985
TP73,MESH:C538320,1.0,Association,36091765
DISC1,MESH:D000077192,0.909,Association,36091765
NBPF26,MESH:C538320,1.0,Association,36091765
SLC6A9,MESH:C538320,1.0,Association,36091765
RUSC1,MESH:C538320,1.0,Association,36091765
HNRNPR,MESH:C538320,1.0,Association,36091765
CFAP57,MESH:C538320,1.0,Association,36091765
OR10K1,MESH:D000077192,0.967,Association,36091765
SLC6A9,MESH:D000077192,0.771,Association,36091765
PBX1,MESH:C538320,0.999,Association,36091765
OR10K1,MESH:C538320,1.0,Association,36091765
DISC1,MESH:C538320,1.0,Association,36091765
CELA2A,MESH:D021441,0.999,Association,36116415
CTRC,MESH:D021441,0.998,Association,36116415
CELA3A,MESH:D021441,0.999,Association,36116415
CDC20,MESH:D021441,1.0,Association,36116415
CELA2B,MESH:D021441,0.999,Association,36116415
ODF2L,MESH:D000077216,1.0,Association,36378528
ODF2L,MESH:D009369,0.984,Association,"36378528,38334481"
HMGB1P45,MESH:D006261,0.998,Association,36672757
RPL30P1,MESH:D006261,0.999,Association,36672757
FAF1,MESH:D006261,0.997,Association,36672757
PFDN2,MESH:D009369,0.577,Association,37538116
PFDN2,MESH:D013274,0.985,Positive_Correlation,37538116
SF3B4,MESH:D001943,0.999,Association,37551622
KIF26B,MESH:D009369,0.997,Negative_Correlation,37551622
NR5A2,MESH:D001943,0.999,Association,37551622
NR5A2,MESH:D009369,0.985,Negative_Correlation,37551622
KIF26B,MESH:D001943,0.999,Association,37551622
KRTCAP2,MESH:D001943,0.999,Association,37551622
SH2D1B,MESH:D009203,1.0,Association,37576155
FASLG,MESH:D007249,0.999,Association,37576155
SH2D1B,MESH:D007249,1.0,Association,37576155
FASLG,MESH:D009203,1.0,Association,37576155
OLFML2B,MESH:D002292,0.999,Association,37676078
OLFML2B,MESH:D009362,0.987,Association,37676078
NOC2L,MESH:D011225,0.894,Association,37872600
LINC01132,MESH:D008175,0.879,Positive_Correlation,38403680
NEXN,MESH:D018205,1.0,Association,38474122
SVBP,MESH:D010190,0.895,Association,38526030
ATP8B2,MESH:D008607,1.0,Association,39219493
GLRX2,MESH:D005355,0.611,Association,39278573
GLRX2,MESH:D065626,0.994,Association,39278573
GLRX2,MESH:D004620,0.987,Association,39278573
Tnfrsf14,MESH:D007249,0.999,Association,39300279
Tnfrsf25,MESH:D007249,0.999,Association,39300279
ODF2L,MESH:D014397,1.0,Association,39337460
GBP2,MESH:D000086382,0.998,Association,39337460
GBP2,MESH:D014397,0.978,Association,39337460
ADAMTSL4,MESH:D030342,0.735,Association,39360343
ADAMTSL4,MESH:D005128,1.0,Association,39360343
ADAMTSL4,MESH:D007906,1.0,Association,39360343
HSPB7,MESH:D008545,1.0,Association,39367275
HSPB7,MESH:D009369,0.94,Negative_Correlation,39367275
Otud3,MESH:D015427,0.983,Positive_Correlation,39415292
Ptgs2,MESH:D002545,0.999,Association,39415292
Ptgs2,MESH:D015427,0.997,Association,39415292
Otud3,MESH:D002545,0.586,Association,39415292
PRRX1,MESH:D001024,0.997,Association,39504041
AGO3,MESH:D008103,1.0,Association,39524633
AGO3,MESH:D000094724,0.999,Association,39524633
AGO3,MESH:D006528,0.594,Association,39524633
ENAH,MESH:D006528,0.939,Association,39524633
TRIM46,MESH:D010051,0.992,Association,"39553213,39937005"
MINDY1,MESH:D007333,0.998,Association,39577414
VANGL1,MESH:D009362,0.988,Association,39586126
VANGL1,MESH:D015179,0.999,Association,39586126
SPRR2D,MESH:D057765,0.999,Association,39643769
LGALS8,MESH:D003424,1.0,Association,39643769
SPRR2E,MESH:D057765,0.999,Association,39643769
SPRR2B,MESH:D057765,0.999,Association,39643769
RAB13,MESH:D018805,0.999,Association,39655195
TLR5,MESH:D018805,1.0,Association,39655195
FCGR1A,MESH:D018805,0.999,Association,39655195
NOC2L,MESH:D013274,1.0,Association,39726754
TAGLN2,MESH:D013274,1.0,Association,39726754
DHX9,MESH:D013274,1.0,Association,39726754
PAQR6,MESH:D002292,0.981,Association,39742277
PAQR6,MESH:D009369,0.997,Association,39742277
SLAMF9,MESH:D009369,1.0,Association,39815269
TENT5B,MESH:D001943,0.999,Association,39833630
PKP1,MESH:D008175,0.521,Association,39888730
BNIPL,MESH:D011471,0.999,Association,39946051
GSTM2,MESH:D011471,0.999,Association,39946051
MATN1,MESH:D002292,0.96,Positive_Correlation,39999286
MATN1,MESH:D009362,0.998,Association,39999286
MIR200B,MESH:D010049,0.628,Association,40002936
MIR200B,MESH:D017254,0.952,Positive_Correlation,40002936
MIR200B,MESH:D004715,0.999,Association,40002936
MIR200B,MESH:D003560,0.59,Positive_Correlation,40002936
GADD45A,MESH:D002296,0.871,Association,40012020
TGFB2,MESH:D001943,0.998,Association,40012020
GADD45A,MESH:D009369,0.989,Association,40012020
RGS7,MESH:D010051,0.999,Association,40032058
RGS7,MESH:D014647,0.65,Association,40032058
F3,MESH:D014647,0.589,Association,40032058
F3,MESH:D054556,0.858,Association,40032058
F3,MESH:D010051,0.993,Association,40032058
RGS7,MESH:D054556,0.967,Association,40032058
TRAF5,MESH:D007249,0.999,Association,40093618
IL24,MESH:D007249,0.999,Association,40133606
NGF,MESH:D007249,0.876,Association,40133606
TPM3,MESH:D014972,0.604,Positive_Correlation,40162548
NTRK1,MESH:D014972,0.999,Association,40162548
Tnfaip8l2,MESH:D010024,0.999,Association,40165373
Tnfaip8l2,MESH:D006311,1.0,Association,40165373
Tnfaip8l2,MESH:D009410,0.612,Negative_Correlation,40165373
MIR200B,MESH:D012175,1.0,Association,40194350
ACTRT2,MESH:D004675,0.998,Association,31122248
OR10J1,MESH:D004675,0.999,Association,31122248
OR2T34,MESH:D004675,0.444,Association,31122248
PLEKHA6,MESH:C537535,0.989,Association,35810566
PLEKHA6,MESH:D009369,0.999,Association,35810566
Bpnt1,MESH:D043183,0.951,Association,36094925
ERO1B,MESH:D003924,0.999,Association,36109769
DCLRE1B,MESH:D003922,0.997,Association,36109769
ZNF683,MESH:D009101,1.0,Association,36245253
SH2D1B,MESH:D009101,0.759,Association,36245253
SLAMF7,MESH:D009101,0.98,Association,36245253
TSEN15,MESH:D010003,0.988,Association,36538011
COLGALT2,MESH:D010003,0.971,Association,36538011
CLK2,MESH:D011471,0.984,Association,37143720
RNF207,MESH:D011471,0.943,Association,37143720
SNHG12,MESH:D012871,0.982,Association,38003532
SNHG12,MESH:D011565,0.932,Association,38003532
CYP4Z2P,MESH:D012871,0.999,Association,38003532
LINC00853,MESH:D009362,0.997,Positive_Correlation,38171082
LINC00853,MESH:D013274,0.998,Positive_Correlation,38171082
ODF2L,MESH:D015179,0.98,Positive_Correlation,38334481
Mtor,MESH:D009369,0.987,Association,38490509
Camk2n1,MESH:D009369,0.565,Association,38490509
Camk2n1,MESH:D002289,0.734,Association,38490509
Camk2n1,MESH:D009362,0.972,Negative_Correlation,38490509
TACSTD2,MESH:D001943,0.998,Association,39240479
NOTCH2,MESH:D001943,0.972,Association,39240479
HSPB7,MESH:D009765,0.999,Association,39348460
HSPB7,MESH:D018205,0.999,Association,39348460
INTS7,MESH:D009369,0.566,Positive_Correlation,39465338
RABIF,MESH:C562393,0.996,Association,39644349
RABIF,MESH:D009369,0.975,Association,39644349
CDCA8,MESH:C562393,0.61,Association,39644349
SPRR2E,MESH:C562393,0.981,Association,39644349
CAP1,MESH:C562393,0.868,Association,39644349
RABIF,MESH:D008545,0.999,Positive_Correlation,39644349
CYP4A22,MESH:D053098,0.965,Association,39714216
DNM3,MESH:D013274,0.996,Association,39760915
HES4,MESH:D054218,0.998,Association,40009499
SERBP1,MESH:D023921,0.986,Association,40175693
SERBP1,MESH:D017202,1.0,Association,40175693
SERBP1,MESH:D054059,0.999,Association,40175693
SERBP1,MESH:D001778,1.0,Association,40175693
SERBP1,MESH:D003324,0.998,Negative_Correlation,40175693
SERBP1,MESH:D050197,1.0,Association,40175693
S100A12,MESH:D018805,0.978,Association,40187358
S100A12,MESH:D000086382,0.993,Association,40187358
SYT14,MESH:D019964,1.0,Association,39966626
SYT14,MESH:D003866,0.932,Association,39966626
SYT14,MESH:D003865,0.955,Association,39966626
SYT14,MESH:D006948,0.992,Association,39966626
SYT14,MESH:D001714,0.551,Positive_Correlation,39966626
